Trends in Number of COVID-19 Vaccinations in the US,,,,,,,,,,,,,
Date generated: Mon Mar 08 2021 11:44:30 GMT-0500 (Eastern Standard Time),,,,,,,,,,,,,
,,,,,,,,,,,,,
Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change
Admin,12/14/2020,US,3617,3498,4,15696,14064,1359,7032,7848,680,null,null
Admin,12/15/2020,US,48832,45412,23,64528,59476,1382,19825,21509,461,null,null
Admin,12/16/2020,US,157367,150528,187,221895,210004,1569,52501,55473,392,null,null
Admin,12/17/2020,US,269516,258735,473,491411,468739,2042,93748,98282,408,null,null
Admin,12/18/2020,US,408662,397503,534,900073,866242,2576,144374,150012,429,null,null
Admin,12/19/2020,US,178254,173728,680,1078327,1039970,3256,148567,154046,465,null,null
Admin,12/20/2020,US,101678,99568,444,1180005,1139538,3700,161282,166846,335,null,null
Admin,12/21/2020,US,373360,365155,702,1553365,1504693,4402,212947,219667,435,null,null
Admin,12/22/2020,US,440171,431135,1847,1993536,1935828,6249,268050,275572,695,null,null
Admin,12/23/2020,US,557119,545206,1554,2550655,2481034,7803,324433,332680,891,null,null
Admin,12/24/2020,US,190919,185382,875,2741574,2666416,8678,313954,321451,948,null,null
Admin,12/25/2020,US,11882,11796,33,2753456,2678212,8711,258853,264769,876,null,null
Admin,12/26/2020,US,136326,133902,297,2889782,2812114,9008,253163,258779,822,null,null
Admin,12/27/2020,US,91409,89572,280,2981191,2901686,9288,251735,257312,798,null,null
Admin,12/28/2020,US,565529,551804,2084,3546720,3453490,11372,278400,284765,996,null,null
Admin,12/29/2020,US,694056,673592,2589,4240776,4127082,13961,313036,321034,1102,null,null
Admin,12/30/2020,US,811707,789440,4835,5052483,4916522,18796,347927,357404,1570,null,null
